Test Name,GT_id_num,T_id_num,Total_difference,Error_rate,HOTA,MOTA,MOTP,IDSW,IDF1
aiwei_1_bot_conf060,144,145,1,0.69444,74.506,73.429,94.101,23,82.018
aiwei_1_bot_conf070,144,137,-7,-4.8611,73.49,71.57,94.183,17,80.828
aiwei_2_bot_conf060,121,147,26,21.488,73.009,74.758,92.63,37,81.564
aiwei_2_bot_conf070,121,137,16,13.223,72.352,74.014,92.779,32,81.192
factory_bot_conf060,180,170,-10,-5.5556,92.375,93.966,95.588,14,96.643
factory_bot_conf070,180,166,-14,-7.7778,91.922,93.012,95.713,11,96.229
