Test Name,GT_id_num,T_id_num,Total_difference,Error_rate,HOTA,MOTA,MOTP,IDSW,IDF1
aiwei_1_deepsort_3,144,153,9,6.25,70.922,68.278,96.49,34,76.962
aiwei_1_strongsort_3,144,154,10,6.9444,71.766,72.484,93.929,53,78.587
aiwei_1_botsort_3,144,137,-7,-4.8611,73.515,71.602,94.198,15,80.846
aiwei_1_ocsort_3,144,131,-13,-9.0278,67.037,61.254,96.765,18,73.606
factory_phone_deepsort,180,173,-7,-3.8889,91.941,90.772,99.943,10,94.557
factory_phone_strongsort,180,183,3,1.6667,91.724,93.11,97.222,30,95.323
factory_phone_botsort,180,166,-14,-7.7778,91.897,92.987,95.705,11,96.229
factory_phone_ocsort,180,154,-26,-14.444,87.405,83.392,99.966,7,90.306
